name,description,price
Prodamo prikupne mucke,"Prodamo prikupne 4 mucke različnih barv (glej slike). 

Več informacij: 041-708-303",Po dogovoru
Oddamo macčje mladiče,"Podarimo štiri mačje mladiče, tri samičke in enga samčka. Pripravljeni so za prevzem(slike so starejse), stari so dva meseca",Podarim
Podarimo dva lepa črna mačka - 4 mesece stara,"Podarimo dva črna mačka, izberete lahko med: en čisto črn, drugi z rahlimi sivkastimi odtenki, se vidi na sliki razlika (na",Podarim
Cartljivec Bacardi (DZZŽ Kranj),"Bacardi je mačji mladič, star 4-5 mesecev. Je izredno živahen, prijazen, igriv in cartljiv muc, ki se rad pogovarja. Rad",Po dogovoru
"Mala, predoča Janis (DZZŽ Kranj)","Mala Janis je trimesečna mucka, ki je bila najdena popolnoma shirana in premražena v vasi na Gorenjskem. S skrbno nego se",Po dogovoru
Mehka Casali (DZZŽ Kranj),"Casali je mlada muca, stara 6 mesecev. Je izredno živahna, prijazna, igriva in cartljiva muca, ki se rada stisne v naročje.",Po dogovoru
Mucka Maca,"Pomagamo pri oddaji – mucka MACA Prijazna muca, sterilizirana in zdrava, išče skrben in varen dom, kjer ji bodo omogočili",Po dogovoru
MAINE COON- mucka,"Imamo prečudovito mainecoonko staro leto in pol, redno cepljena, razglistena in zelo lepa. 
Mucka je socializirana in zelo",Po dogovoru
Prikupna Eva in Bučman (DZZŽ Kranj),"Skupen ‘za vedno dom’ in pripadajočo ljubečo družinico iščeta prijazna mucka Eva in Bučman, štirimesečna bratec in sestrica,",Po dogovoru
Mali črni panter Liam (DZZŽ Kranj),"Liam je mali mačji črni panter, star 3 mesece. Zelo rad ima ljudi in je izjemno družaben. Če je le mogoče se namontira v",Po dogovoru
Prikupna nežna Nur (DZZŽ Kranj),"Nur je prikupna nežna tigričica, stara 3 mesece, ki išče bližino človeka na vsakem koraku. Rada poležava in se crklja. Ko",Po dogovoru
Luštna črno srebrna lepotička Lina (DZZŽ Kranj),"Lina je medvedkasto luštna črnuhica. Je prijazna, igriva, nekonfliktna in crkljiva mucka stara 3 mesece. Je sobno čista in",Po dogovoru
Crkljiva črnuhica Cici (DZZ Kranj),"Cici je medvedkasto luštna mucka, črno srebrne barve. Je prijazna, igriva, nekonfliktna in crkljiva mucka stara 3 mesece.",Po dogovoru
Igrivi Iggy išče dom z varnimi izhodi v okolje (DZZŽ Kranj),"Črno beli Iggy je bil skupaj z dvema mladičkoma in mucko Indio najden na območju Besnice, kjer je že dolga leta odlagališče",Po dogovoru
Prijazna India išče dom z varnimi izhodi v okolje (DZZŽ Kr),"Čisto bela mucka India je bila skupaj z dvema mladičkoma in muckom Iggyjem najdena na območju Besnice, kjer je že dolga leta",Po dogovoru
Živahna tigrica Arashi (DZZŽ Kranj),Arashi (Nevihta) je živahna navihanka z veliko energije in zdravim apetitom. Kot blisk hitro ti švigne med nogami naravnost,Po dogovoru
Čudovita cartasta Živa (DZZŽ Kranj),"Mucka  Živa je bila skotena v maju. Kot čisto majcena je bila rešena z odstavnega pasu avtoceste, tik preden bi jo povozilo.",Po dogovoru
Mačja dama Miša (DZZŽ Kranj),"Miša je v celoti veterinarsko urejena. Je že umirjena muca, ki ne uničuje več stvari in že razume česa ne sme. Je scrkljana",Po dogovoru
Nagajivi in igrivi mali Max (DZZŽ Kranj),"Max je star 3 mesece in je v celoti veterinarsko oskrbljen. Je igriv muc, ki je veliko časa v gibanju in se igra z drugimi",Po dogovoru
Puhasti Nishe (DZZŽ Kranj),"Nishe je star 3 mesece in je v celoti veterinarsko oskrbljen. Je prijazen in scrkljan muc. Zelo rad se boža in zaprede takoj,",Po dogovoru
